id,feature_name_fr,feature_parent,feature_grandpa,tree_depth,Nom complet,Relation,Ceramic_Relation,Nom abrégé avec la relation
47,Cuisson,,0,0,Cuisson,,Has_Cuisson,
48,└ Atmosphère de cuisson,47,47,1,Cuisson selon l'atmosphère,is-a,Has_Cuisson,Cuisson
49, └ Oxydante,48,47,2,Cuisson en atmosphère oxydante,is-a,Has_Cuisson,Cuisson selon l'atmosphère 
50, └ Réductrice,48,47,2,Cuisson en atmosphère réductrice,is-a,Has_Cuisson,Cuisson selon l'atmosphère 
51, └ Aléatoire,48,47,2,Cuisson en atmosphère non maîtrisée,is-a,Has_Cuisson,Cuisson selon l'atmosphère 
52,└ Traces d'enfournement,47,47,1,Cuisson avec traces d’enfournement,is-a,Has_Cuisson,Cuisson
53, └ Pernette,52,47,2,Cuisson avec traces de pernette,is-a,Has_Cuisson,Cuisson avec traces d’enfournement
54, └ Emboîtement,52,47,2,Cuisson avec traces d'emboîtement,is-a,Has_Cuisson,Cuisson avec traces d’enfournement
55, └ Autre,52,47,2,Cuisson avec traces d'enfournement autre que pernettes et emboîtement/Cuisson avec traces d'enfournement atypique,is-a,Has_Cuisson,Cuisson avec traces d’enfournement
94,Décor,,0,0,Décor,,Has_Décor,
95,└ Décor géométrique,94,94,1,Décor géométrique,is-a,Has_Décor,Décor
96,└ Décor figuré,94,94,1,Décor figuré,is-a,Has_Décor,Décor
97,└ Décor zoomorphe,94,94,1,Décor zoomorphe,is-a,Has_Décor,Décor
98,└ Décor végétal,94,94,1,Décor végétal,is-a,Has_Décor,Décor
99,└ Héraldique,94,94,1,Décor Héraldique,is-a,Has_Décor,Décor
100,└ Décor calligraphique,94,94,1,Décor calligraphique,is-a,Has_Décor,Décor
1,Façonnage,,0,0,Façonnage,,Has_Faconnage,
2,└ Au tour,1,1,1,Faconnage au tour,is-a,Has_Faconnage,Faconnage
3, └ Tourné,2,1,2,Faconnage tourné,is_a,Has_Faconnage,Faconnage au tour
4, └ Tourné/modelé,2,1,2,Façonnage tourné et moulé,is_a,Has_Faconnage,Faconnage au tour
5,└ A la main,1,1,1,Faconnage à la main,is_a,Has_Faconnage,Faconnage
6, └ Modelé,5,1,2,Façonnage modelé,is_a,Has_Faconnage,Faconnage à la main
7, └ Modelé/tournassé,5,1,2,Faconnage modelée et tournassé,is_a,Has_Faconnage,Faconnage à la main
9, └ Découpé,5,1,2,Fcaonnage découpé,is_a,Has_Faconnage,Faconnage à la main
10, └ Raclé,5,1,2,Faconnage raclé,is_a,Has_Faconnage,Faconnage à la main
104, └ Sur âme,5,1,2,Faconnage montée sur âme,is_a,Has_Faconnage,Faconnage à la main
11,└ Au moule,1,1,1,Faconnage au moule,is-a,Has_Faconnage,Faconnage
12, └ Moulé,11,1,2,Faconnage moulée,is_a,Has_Faconnage,Faconnage au moule
13, └ Coulé,11,1,2,Faconnage coulée,is_a,Has_Faconnage,Faconnage au moule
78,Marques et signes,,0,0,Marques et signes,is-a,Has_Marque,
79,└ Marque de fabrique,78,78,1,Marque de fabrique,is-a,Has_Marque,Marque ou signe
80, └ Imprimée en creux,79,78,2,Marque imprimée en creux,is-a,Has_Marque,marque 
81, └ Imrpimée au tampon,79,78,2,Marque imprimée au tampon,is-a,Has_Marque,marque 
82, └ Incisée,79,78,2,Marque incisée,is-a,Has_Marque,marque 
