"id","site_country_code","site_nearest_city","site_code","site_name","site_data_supplier","date_created","creator"
19,FRA,Marseille,NULL,Sainte-Barbe,NULL,2021-04-30 08:05:25.000,2
20,FRA,Beaucaire,NULL,Collège Eugène Vigne,NULL,2021-04-30 11:16:09.000,4
53,FRA,Cucuron,NULL,Cucuron,NULL,2022-11-09 13:19:12.000,4
22,FRA,Montpellier,NULL,Clémence Royer,NULL,2021-06-29 17:02:00.000,2
23,FRA,Montpellier,NULL,Rue de la Fontaine-du-Pila,NULL,2021-07-05 14:11:08.000,2
24,FRA,Montpellier,"5050.199/2000",Faubourg du Pila Saint-Gély,NULL,2021-07-08 17:41:31.000,2
25,SYR,Raqqa,NULL,Raqqa,NULL,2021-09-16 16:34:52.000,1
26,CYP,Nicosie,NULL,Maison Michaelidis,NULL,2021-10-28 13:38:25.000,5
27,CYP,Nicosie,NULL,Archevêché,NULL,2021-11-24 15:29:58.000,5
28,FRA,Avignon,NULL,Rue du Limas,NULL,2022-02-11 11:20:06.000,4
32,FRA,Avignon,NULL,Rue Velouterie,NULL,2022-02-17 12:56:32.000,4
33,FRA,Avignon,NULL,Impasse de l'Oratoire - rue du Mail,NULL,2022-02-17 13:15:44.000,4
34,FRA,Avignon,NULL,Rue des Trois colombes,NULL,2022-02-17 13:53:09.000,4
35,FRA,Saint-Martin-de-la-Brasque,NULL,Saint-Martin-de-la-Brasque,NULL,2022-02-23 20:08:10.000,4
36,FRA,L'Argentière-La-Bessée,"05 006 13",Chapelle Saint-Jean,NULL,2022-02-25 14:05:03.000,4
88,FRA,Saint-Gilles,NULL,"Quartier Saint-Pierre, remparts nord",NULL,2024-05-27 17:35:20.000,4
37,FRA,Puy-Saint-Pierre,NULL,Eglise St-Pierre,NULL,2022-02-28 17:41:58.000,4
38,FRA,Ganagobie,NULL,Prieuré de Ganagobie,NULL,2022-03-08 15:17:34.000,4
41,FRA,Buoux,NULL,Saint-Symphorien de Buoux,NULL,2022-03-10 15:19:36.000,4
42,FRA,La Roque-d'Anthéron,NULL,Abbaye de Silvacane,NULL,2022-03-10 16:19:41.000,4
44,FRA,Fréjus,NULL,Impasse Kipling,NULL,2022-05-12 11:36:11.000,7
51,ESP,Castell de Cabrera,NULL,Cabrera d'Anoia,NULL,2022-09-21 14:21:38.000,4
47,FRA,Lazer,NULL,La Plâtrière,NULL,2022-05-31 09:35:24.000,4
50,FRA,"Saint-Amans-Soult, Tarn",NULL,Peyremoutou,NULL,2022-09-05 11:13:40.000,4
49,FRA,Argelès-sur-Mer,"10/166-8008","Castrum d'Ultrère, Pic Saint-Michel",NULL,2022-08-24 15:30:41.000,4
52,SYR,Raqqa,NULL,Tell Abou Ali ,NULL,2022-11-04 10:39:32.000,1
29,FRA,Fréjus,NULL,Cathédrale Notre-Dame,NULL,2022-02-12 18:08:44.000,4
30,FRA,Fréjus,NULL,Place Formigé,NULL,2022-02-12 18:09:22.000,4
39,FRA,Manosque,NULL,Notre-Dame de Romigier,NULL,2022-03-10 13:55:06.000,4
40,FRA,Manosque,NULL,Tuilerie du vallon de Gaude,NULL,2022-03-10 14:49:53.000,4
43,FRA,Digne,NULL,Notre-Dame-du-Bourg,NULL,2022-04-05 10:32:07.000,4
54,BGR,Shumen,NULL,Forteresse de Shumen,NULL,2023-02-20 15:31:13.000,4
58,TUR,Izmir,NULL,Maison de Şifa,NULL,2023-02-28 14:36:06.000,5
59,FRA,Roquevaire (13360),NULL,Château de Roquevaire,NULL,2023-04-20 17:52:00.000,4
57,TUR,Iznik,NULL,Iznik région (prospection),NULL,2023-02-23 14:11:28.000,5
60,FRA,Fort-de-France,NULL,SRA Martinique HS,NULL,2023-04-25 15:26:36.000,4
61,UZB,Paykend,NULL,Paykend,NULL,2023-05-17 11:42:36.000,4
62,SYR,Alep,NULL,Citadelle Alep,NULL,2023-06-21 08:21:49.000,5
63,SYR,Damas,NULL,Citadelle de Damas,NULL,2023-07-07 14:13:13.000,5
64,CYP,Potamia,NULL,Potamia /Agios Sozomenos,NULL,2023-07-25 15:43:48.000,5
65,CYP,Potamia/Agios Sozomenos,NULL,Manoir des Lusignan,NULL,2023-07-25 15:45:07.000,5
66,CYP,Mosfiloti,NULL,Mosfiloti,NULL,2023-07-26 11:46:26.000,1
67,CYP,Athienou,NULL,Athienou musée ethnographique,NULL,2023-07-26 13:31:55.000,5
68,CYP,Nicosie,NULL,Musée d'art populaire Nicosie,NULL,2023-07-26 13:36:55.000,5
70,TUR,Iznik,NULL,Iznik,NULL,2023-07-26 14:10:57.000,5
71,TUR,Iznik,NULL,Musée archéologique Iznik,NULL,2023-07-26 15:38:27.000,5
72,TUR,Geyre,NULL,Aphrodisias,NULL,2023-08-10 17:18:13.000,5
74,BGR,Sofia,NULL,rue Budapesta,NULL,2023-09-19 14:33:23.000,4
73,BGR,Sofia,NULL,Amphithéâtre antique de Sofia,NULL,2023-09-19 13:38:13.000,4
89,FRA,Montpellier,NULL,Barralerie,NULL,2024-06-19 15:08:45.000,4
76,FRA,Bonnieux,NULL,Pont Julien,NULL,2024-02-15 09:17:15.000,6
77,FRA,Roussillon,NULL,La Verrière,NULL,2024-02-15 09:26:44.000,6
78,DZA,Alger,NULL,place des Martyrs,NULL,2024-03-05 13:39:12.000,5
79,EGY,Alexandrie,NULL,Kom ad-Dikka,NULL,2024-03-13 16:49:08.000,5
80,UKR,Alushta,NULL,Vieille ville,NULL,2024-03-14 14:24:34.000,11
81,BGR,Kyustendil,NULL,Staro liatno kino,NULL,2024-03-14 15:10:06.000,4
82,UKR,Luchyste,NULL,Funa,NULL,2024-03-15 16:46:25.000,11
83,UKR,Balaklava,NULL,Cembalo,NULL,2024-03-15 17:04:06.000,11
84,UKR,Balaklava,NULL,Cembalo fortification,NULL,2024-03-18 10:56:33.000,11
85,MAR,Rissani,NULL,Sijilmâsa,NULL,2024-03-20 18:24:51.000,5
86,FRA,Saint-Laurent-le-Minier,NULL,"Hierle, District minier",NULL,2024-05-14 15:58:33.000,4
87,FRA,Freissinière,NULL,Fangeas X,NULL,2024-05-16 15:05:24.000,4
69,CYP,Gieroskipou,NULL,Gieroskipou,NULL,2023-07-26 13:47:31.000,5
31,FRA,Fréjus,NULL,Place Clemenceau,NULL,2022-02-15 13:58:46.000,7
75,FRA,Gargas,"12810",Saint-Estève / La Coquillade,NULL,2024-02-02 18:18:45.000,6
90,FRA,Castelnau-le-Lez,"9383",Verchamp-Eureka,NULL,2024-07-03 16:00:29.000,4
91,FRA,Cavaillon,NULL,Hôtel d'Agar,NULL,2024-11-07 11:13:39.000,4
92,FRA,Aix-en-Provence,"10160 / 2011-584","rue Littéra, n°8",NULL,2024-11-09 16:17:11.000,4
93,FRA,Saint-Mauurice-de-Navacelles,"08/237-7395",Natges (Les),NULL,2024-11-12 16:53:58.000,4
94,FRA,NULL,NULL,"Corum, Montpellier",NULL,2025-02-17 20:35:47.000,4
