"id","color_id","object_id"
316,1,177
317,10,177
1605,1,2119
318,1,178
320,1,180
321,1,184
2295,7,1947
9,1,172
11,1,173
12,1,174
13,1,175
322,11,184
647,1,328
648,2,328
651,1,329
652,2,329
655,1,331
536,1,221
537,2,221
26,1,203
656,2,331
659,2,333
662,1,335
663,2,335
665,1,337
32,7,206
666,2,337
669,1,339
670,2,339
673,1,342
674,2,342
1336,1,298
1337,2,298
677,2,344
679,1,346
680,2,346
682,1,350
684,5,352
686,11,353
689,1,355
540,1,223
541,2,223
544,1,225
545,2,225
548,1,227
549,2,227
553,1,229
554,2,229
3688,2,3143
5723,4,5866
1346,1,303
1347,2,303
557,1,231
558,2,231
559,7,231
563,1,233
690,11,355
692,1,357
1348,7,303
5573,4,7811
698,1,368
5724,6,5866
702,7,376
704,7,381
706,1,383
708,7,385
710,1,387
712,7,395
714,1,399
903,1,786
904,2,786
909,1,785
910,2,785
915,1,798
916,2,798
921,1,800
922,2,800
927,1,803
198,1,239
199,2,239
200,7,239
928,2,803
1358,1,210
1359,2,210
1366,1,222
941,11,860
944,1,873
747,1,458
748,2,458
751,1,461
752,2,461
753,7,461
756,1,463
757,2,463
945,2,873
948,2,874
950,11,878
1367,2,222
1374,1,246
1375,2,246
1376,7,246
564,2,233
565,7,233
956,1,897
957,2,897
2266,7,1918
783,1,452
786,1,441
788,1,438
959,2,900
962,1,928
963,2,928
965,1,931
966,2,931
574,1,238
269,11,70
275,1,92
276,2,92
282,1,119
302,1,159
305,1,165
306,11,165
307,1,167
308,1,170
309,11,170
312,1,169
313,11,169
314,1,204
315,1,176
575,2,238
579,1,240
3704,4,5862
580,2,240
581,7,240
5725,11,5866
604,1,249
605,2,249
609,11,252
611,11,253
622,1,259
623,2,259
628,11,261
632,2,265
634,11,125
636,1,122
638,1,124
640,1,309
641,2,309
2275,1,1869
542,1,224
543,2,224
546,1,226
547,2,226
550,1,228
551,2,228
552,7,228
894,1,780
895,2,780
380,1,306
381,2,306
382,2,305
383,7,305
560,1,232
561,2,232
562,7,232
566,1,235
567,2,235
568,7,235
390,1,302
391,2,302
394,2,308
572,1,237
573,2,237
399,1,312
400,2,312
401,1,314
402,1,315
403,2,315
900,1,788
406,1,317
407,2,317
582,1,241
410,2,319
411,2,318
2238,1,2013
412,2,316
413,2,320
414,1,321
415,2,321
583,2,241
584,7,241
418,1,325
419,2,325
420,2,326
588,1,242
589,2,242
1338,1,300
1339,2,300
917,1,799
590,7,242
918,2,799
923,1,801
1340,11,300
924,2,801
1349,1,304
1350,2,304
933,2,474
1351,7,304
1360,1,214
602,2,248
942,1,859
1361,2,214
603,11,248
606,2,250
608,2,251
653,1,330
1368,1,243
1369,2,243
1377,1,247
1378,2,247
612,1,254
613,2,254
2262,1,1928
2239,5,1999
2240,7,1999
2248,7,1984
616,1,256
654,2,330
657,1,332
617,2,256
479,1,340
480,2,340
627,11,260
629,2,263
631,2,264
633,11,266
635,11,126
637,1,123
2296,1,1842
639,1,48
658,2,332
660,1,334
661,2,334
664,7,336
667,1,338
668,2,338
671,1,341
672,2,341
675,1,343
676,2,343
678,11,345
681,11,349
685,11,354
6000,5,3269
6118,6,8180
518,1,211
519,2,211
520,1,212
521,2,212
522,1,213
523,2,213
6119,11,8180
528,1,215
529,2,215
530,1,216
531,2,216
532,1,219
533,2,219
534,1,220
535,2,220
691,11,356
5574,4,7810
699,1,369
701,7,371
703,7,380
705,1,382
707,1,384
709,1,386
711,1,388
713,1,398
2267,7,1917
2276,8,1869
2281,5,1856
2284,7,1847
2288,5,1844
749,1,459
750,2,459
754,1,462
755,2,462
784,1,442
785,2,442
787,1,440
789,1,437
790,1,436
791,1,433
792,1,432
793,1,439
794,1,431
795,1,430
796,7,430
797,1,429
798,1,428
799,7,428
800,1,427
801,7,361
802,7,362
803,9,362
804,2,365
805,7,365
806,1,451
807,7,412
808,1,410
813,1,425
814,7,426
815,7,424
816,1,423
817,7,423
818,1,422
819,7,422
820,7,421
821,7,420
822,1,419
823,7,418
824,7,417
825,5,416
826,7,415
827,1,414
828,7,414
829,1,413
830,7,413
831,1,407
896,1,779
833,11,638
897,2,779
901,1,787
836,1,230
837,2,230
838,1,236
839,2,236
840,7,236
841,11,639
842,11,701
