,id,feature_id,object_id
0,2275,49,116
1,2276,16,116
2,2277,3,116
3,2561,49,169
4,2562,16,169
5,21063,49,1572
6,21064,3,1572
7,21065,18,1572
8,2563,3,169
9,2564,41,169
10,2577,49,178
11,2578,16,178
12,21066,66,1572
13,21067,37,1572
14,40420,3,2244
15,33374,49,1506
16,2278,37,116
17,2296,49,121
18,2297,16,121
19,2298,3,121
20,2299,37,121
21,33375,3,1506
22,33376,16,1506
23,4814,49,122
24,4815,16,122
25,4816,3,122
26,2579,3,178
27,2580,41,178
28,2593,49,181
29,1664,49,239
30,1665,11,239
31,1666,16,239
32,2594,16,181
33,2595,3,181
34,2596,10,181
35,2597,37,181
36,1667,42,239
37,4817,41,122
38,4838,49,48
39,4839,3,48
40,4840,16,48
41,4841,41,48
42,4862,49,296
43,2373,49,137
44,4863,16,296
45,4864,3,296
46,4865,37,296
47,4887,49,309
48,4888,16,309
49,4889,3,309
50,2374,16,137
51,2375,3,137
52,2376,37,137
53,33377,61,1506
54,2639,49,188
55,2399,49,141
56,2400,16,141
57,2401,3,141
58,2402,37,141
59,2640,16,188
60,2641,3,188
61,2642,37,188
62,2655,49,115
63,2656,16,115
64,2657,3,115
65,2658,37,115
66,2425,49,145
67,2426,16,145
68,2687,49,97
69,2688,16,97
70,2689,3,97
71,2690,37,97
72,2704,49,191
73,2427,3,145
74,2428,37,145
75,2437,49,147
76,2438,16,147
77,2705,16,191
78,2439,3,147
79,2440,37,147
80,2450,49,149
81,2451,16,149
82,2452,3,149
83,2453,37,149
84,2463,49,150
85,2464,16,150
86,2465,3,150
87,2466,37,150
88,2475,49,153
89,2476,16,153
90,2477,3,153
91,2478,37,153
92,2487,49,156
93,2488,16,156
94,2489,3,156
95,2490,37,156
96,2499,49,159
97,2500,16,159
98,2501,3,159
99,2502,41,159
100,2512,49,161
101,2513,16,161
102,2514,3,161
103,2515,37,161
104,2525,49,164
105,2526,16,164
106,2527,3,164
107,2528,37,164
108,2537,49,167
109,2538,16,167
110,2539,3,167
111,2540,41,167
112,2549,49,168
113,2550,16,168
114,2551,3,168
115,2552,37,168
116,2565,49,204
117,2566,16,204
118,2567,3,204
119,2568,41,204
120,2581,49,179
121,4890,42,309
122,4891,61,309
123,4916,49,329
124,4917,16,329
125,4918,3,329
126,4919,42,329
127,4920,61,329
128,2582,16,179
129,2583,3,179
130,2584,41,179
131,2279,49,117
132,2280,16,117
133,2281,3,117
134,2282,37,117
135,33378,42,1506
136,2343,49,130
137,2344,16,130
138,9349,3,567
139,9350,49,567
140,9351,40,567
141,9352,18,567
142,21068,49,1571
143,21069,3,1571
144,21070,18,1571
145,21071,66,1571
146,40421,16,2244
147,2706,3,191
148,2707,37,191
149,2716,49,194
150,2717,16,194
151,2718,3,194
152,2719,37,194
153,2728,49,197
154,2345,3,130
155,2729,16,197
156,2730,3,197
157,2731,37,197
158,40422,49,2244
159,2346,37,130
160,2360,49,128
161,40423,41,2244
162,77645,16,5431
163,2361,16,128
164,2362,3,128
165,2363,37,128
166,2377,49,138
