"id","function_name_fr","function_level","function_parent","function_disembiguation_fr","function_priority"
"2","tableware and service","1","1.0","",""
"3","bowl","2","2.0","",""
"4","bowl","2","2.0","",""
"6","basin","2","2.0","",""
"7","plate","2","2.0","",""
"162","form with tubular spout","2","10.0","",""
"200","flask","2","10.0","","4.0"
"11","pitcher","2","10.0","",""
"14","form with basket handle","2","10.0","",""
"15","cup","2","10.0","",""
"16","tumbler","2","10.0","",""
"174","specific storage","1","39.0","",""
"19","culinary","1","1.0","",""
"172","olla","3","20.0","",""
"21","cooking pot","2","19.0","",""
"22","bowl","2","19.0","",""
"23","drip pan","2","19.0","",""
"24","saucepan","2","19.0","",""
"25","dish","2","19.0","",""
"26","pot","2","19.0","cafetière",""
"28","lid","2","27.0","",""
"29","draining mold","2","27.0","",""
"32","funnel","3","31.0","",""
"52","lighting device","1","51.0","",""
"53","lamp","2","52.0","",""
"57","religious items","1","51.0","",""
"58","holy water font","2","57.0","",""
"59","crucifix","2","57.0","",""
"64","chamber pot","2","63.0","",""
"65","bidet","2","63.0","",""
"66","pomade pot","2","63.0","",""
"67","shaving bowl","2","63.0","",""
"68","laundry pot","2","63.0","cuvier",""
"72","fire-related items","1","51.0","",""
"179","remains of kilns and firing","0","","","7.0"
"74","ember cover","2","72.0","",""
"75","incense burner","2","72.0","",""
"76","pipe","2","72.0","",""
"78","calling horn","2","77.0","corne d'appel",""
"79","small clay discs","2","77.0","",""
"82","doll","2","77.0","baigneur",""
"84","token","2","77.0","palet",""
"89","firing separator","2","88.0","pernette, bobine, tube",""
"90","saggar","2","88.0","gazette",""
"91","kiln support","2","88.0","plaque",""
"92","kiln bar","2","88.0","",""
"98","technical or craft ceramic","1","87.0","",""
"100","sugar mold","2","98.0","",""
"103","molasses pot","2","98.0","",""
"104","still","2","98.0","",""
"105","weight","2","98.0","fusaïllole",""
"140","sick-room basin","2","63.0","bassin de lit",""
"123","pipe","1","108.0","",""
"163","ibrik","3","162.0","",""
"31","other","2","27.0","","5.0"
"60","other","2","57.0","","5.0"
"77","other","1","51.0","","5.0"
"94","stamp or punch","2","98.0","",""
