"id","tech_cat_id","feature_id","relation_def"
2672,156,16,1
2673,156,3,1
2674,156,72,3
2675,156,59,3
2676,156,61,3
2677,156,92,3
5934,271,18,1
5935,271,4,1
5756,261,16,1
6641,21,3,1
6642,21,16,3
5757,261,3,1
5758,261,49,1
5778,263,16,1
5779,263,61,1
5780,263,42,1
5781,263,98,3
5936,271,62,1
2711,158,16,1
2712,158,49,1
2713,158,3,1
2714,136,43,2
2715,136,44,2
2716,136,61,3
5358,127,3,1
5937,271,49,1
5938,271,41,1
5359,127,59,1
5360,127,98,2
5361,127,97,3
5362,127,95,3
5363,127,43,1
5247,227,21,1
5248,227,3,1
5249,227,61,1
6619,285,16,1
6620,285,49,1
6621,285,37,1
6622,285,70,3
6643,21,17,3
5250,227,43,1
5251,227,44,1
6200,161,16,1
6201,161,3,1
6202,161,44,1
6203,161,42,1
5364,127,49,1
5365,127,21,1
6204,161,49,1
6205,161,61,2
6206,161,92,3
5782,263,95,3
6062,110,17,2
6644,21,41,1
6645,21,49,1
6646,21,62,3
6647,21,46,2
5283,203,23,1
5284,203,3,1
5285,203,63,1
6504,296,19,1
6505,296,46,2
6506,296,63,1
6507,296,41,1
5286,203,98,2
5287,203,95,3
5288,203,46,1
6063,110,7,1
6064,110,51,1
5897,214,18,1
5898,214,3,1
4184,83,16,1
4185,83,3,1
5289,203,44,1
5819,187,16,1
5820,187,3,1
5821,187,64,1
5822,187,59,1
5823,187,61,3
5824,187,46,1
6588,303,17,1
6589,303,40,1
4186,83,39,2
4187,83,49,1
4188,83,103,3
5825,187,41,1
6469,24,3,1
6470,24,16,1
6590,303,46,1
6471,24,41,1
6472,24,49,1
6473,24,59,3
6474,24,12,3
6508,296,49,1
5826,187,49,1
5862,218,17,1
5863,218,3,1
5864,218,59,1
5865,218,61,1
5866,218,46,1
5867,218,41,1
5868,218,49,1
5869,218,53,2
5899,214,46,1
5900,214,41,1
5901,214,49,1
5902,214,53,2
4985,180,3,1
5559,99,16,1
5560,99,49,1
6388,293,19,1
6389,293,3,1
6390,293,50,1
6391,293,66,3
5561,99,53,2
5562,99,44,1
5563,99,41,1
5564,99,3,1
5928,270,3,1
5929,270,59,1
5930,270,64,4
5565,99,46,1
5931,270,46,1
5932,270,41,1
5933,270,49,1
6065,110,37,1
6078,225,17,1
4986,180,63,1
4987,180,49,1
4988,180,41,1
5994,274,18,1
5995,274,3,1
5996,274,12,1
5997,274,69,1
5044,219,17,1
6392,4,3,1
5998,274,46,2
5999,274,41,2
6000,274,49,1
6393,4,12,1
6394,4,16,1
6395,4,42,1
6396,4,49,1
5045,219,27,1
5046,219,29,3
5047,219,3,1
5048,219,63,1
5049,219,41,1
6079,225,28,2
6080,225,46,1
6081,225,44,1
6082,225,49,1
6509,296,2,2
6040,15,17,1
6041,15,41,1
6042,15,49,1
6043,15,61,1
6044,15,3,2
6045,15,12,3
6500,94,19,1
6501,94,3,1
6502,94,49,1
6503,94,41,2
5050,219,49,1
5051,219,53,3
3186,76,19,1
3187,76,49,1
3188,76,41,1
3189,76,3,2
5111,139,61,1
5112,139,41,2
