"id","tech_cat_id","function_id"
572,156,1
1203,271,2
1259,161,2
1330,308,108
1171,259,119
1303,296,2
1304,296,10
1235,110,1
1039,224,2
1040,219,2
774,159,39
1287,293,1
1129,105,2
1305,296,73
1041,219,22
1174,261,120
1289,109,19
879,83,141
1257,134,2
880,83,89
881,83,6
882,83,41
1130,58,2
883,83,11
1131,126,2
764,184,2
765,184,10
884,83,2
1132,209,2
1123,131,2
1042,102,2
1043,210,2
1173,260,119
1247,90,2
1111,124,2
1112,115,2
1113,127,2
1114,129,2
1115,129,44
766,184,119
767,160,2
677,171,10
1116,129,53
1309,299,108
1271,96,1
1175,261,123
1117,129,41
1248,92,1
1244,93,19
1176,262,119
1044,210,10
1239,225,1
584,157,10
1195,178,1
1196,220,2
1307,297,108
1263,281,2
1198,69,2
585,157,39
1185,244,119
1180,264,119
1181,263,119
1182,265,119
1048,32,22
1139,60,2
678,171,2
679,171,108
586,157,141
1186,187,2
1049,32,24
587,157,128
588,157,85
589,155,39
590,155,10
591,155,141
592,155,85
1187,208,2
593,158,10
1188,116,2
1189,188,2
1190,207,2
1144,99,2
1145,99,53
1146,99,10
1147,99,41
1050,32,20
1191,216,2
1149,228,2
1291,7,1
1192,218,2
1051,32,28
1052,32,18
1053,31,22
1054,31,24
1199,269,119
1206,273,2
910,212,2
1308,298,108
1055,31,20
1056,31,28
1057,31,18
1151,191,10
1059,170,2
1060,246,2
1202,270,2
1061,72,2
1226,167,19
933,222,2
1062,72,41
1063,72,53
1152,191,2
562,121,2
1227,277,2
1211,272,2
1212,275,2
1213,275,39
1214,275,147
1228,34,19
1064,5,5
1065,5,6
1066,6,3
1310,168,108
1067,6,11
1217,274,10
1155,217,2
1218,181,1
1157,84,2
1298,295,19
1159,59,2
1219,181,53
1161,62,2
1220,276,44
1068,107,2
1221,276,41
1222,276,53
1240,225,2
1241,225,10
1268,284,1
1269,283,1
1249,162,10
1233,38,2
1234,38,10
1250,162,2
1299,295,2
1300,295,64
1251,97,10
944,43,2
1252,97,2
1331,74,19
1302,94,19
707,103,2
708,104,2
1077,227,2
1255,189,1
1275,278,10
961,108,2
962,164,108
1328,288,19
1277,85,19
1278,279,1
1313,301,108
963,91,108
1329,306,19
1078,227,15
1280,221,19
1079,227,27
1080,202,2
798,117,2
799,119,2
1281,143,21
1081,202,10
1282,143,11
1283,143,53
1082,202,119
1286,290,1
1083,202,53
1084,202,54
1091,205,2
649,163,2
1092,205,10
1093,205,39
1322,30,21
1323,30,24
1324,30,20
1325,30,18
1094,223,2
1095,203,2
1096,203,10
1098,120,2
1100,128,2
1101,128,44
1102,128,53
1103,128,41
992,106,21
993,106,24
994,29,20
995,29,21
996,29,23
997,29,22
998,29,28
999,29,73
1001,193,2
1002,37,41
1003,37,6
1004,37,2
1005,37,10
1006,61,2
1018,145,21
1019,145,24
1020,145,20
1021,145,22
1022,145,11
1023,145,162
1024,145,28
1025,64,21
1026,64,24
1027,64,20
1028,79,2
1029,79,119
1036,125,2
