"id","cat_name","description","date_begin","date_end","creator","date_created","inherit_from","alternative_name","last_update"
"156","Calcareous with alkaline glaze / Raqqa","Céramiques produites dans les ateliers abbassides de Raqqa. Pâte calcaire de couleur beige en surface et souvent rose ou orange clair au cœur. Glaçure alcaline de diverses teintes. Ces vases sont décorés à l'aide d'une grande variété de traitements de surface.","780.0","899.0","5","2023-01-24 16:45:57.113","135.0","","2024-02-28 10:06:53.384"
"261","Architectural, unglazed / Algiers","","1700.0","1800.0","5","2024-03-06 10:42:12.922","168.0","","2024-03-06 10:42:12.922"
"267","Architectural, in artificial pastes","","","","5","2024-03-13 10:26:35.862","140.0","","2024-03-13 10:26:35.862"
"293","Kaolinitic, reducing-fired","Productions en argiles kaolinitiques cuites en atmosphère réductrice.","600.0","1299.0","4","2024-06-26 09:41:47.558","96.0","Grise kaolinitique","2024-06-26 09:41:47.558"
"209","Incised monochrome / Nicea-Iznik","Céramiques à pâte orange, parfois rouge brique, fine et dure, couverte d'un engobe blanchâtre ou rosé, au décor incisé sous une glaçure plombifère très brillante de couleur caramel, jaune pâle ou verte. Il s'agit d'une production d'Iznik/Nicée comme l'ont montré de récentes analyses de pâtes et quelques biscuits.","1200.0","1331.0","5","2023-08-03 14:55:32.025","191.0","","2024-02-28 10:06:53.384"
"31","Kaolinitic, glazed on slip / Saint-Quentin-la-Poterie","","1700.0","1800.0","1","2021-07-29 09:15:19.268","141.0","","2024-02-28 10:06:53.384"
"308","Architectural, unglazed / Provence, Languedoc","","1250.0","1950.0","4","2025-02-07 20:46:15.469","168.0","","2025-02-07 20:46:15.469"
"131","Moulded, glazed / Raqqa","Céramique à pâte calcaire contenant de petites inclusions rouges et noires, moulée. Un émail peut être appliqué à l'intérieur comme à l'extérieur ; il peut être remplacé à l'intérieur par une glaçure alcaline ou l'objet peut être entièrement couvert d'une glaçure alcaline.","780.0","899.0","5","2022-11-04 15:12:33.017","136.0","","2024-02-28 10:06:53.384"
"294","Calcareous, oxidizing-fired, painted with pigment / Languedoc","Céramique à pâte beige peinte en pigment rouge","","","4","2024-07-03 14:39:06.736","23.0","Oxydante peinte","2024-07-03 14:39:06.736"
"4","Enamelled, green and brown decoration / Provence, Languedoc","","1200.0","1325.0","1","2021-07-28 10:24:38.790","3.0","","2024-02-28 10:06:53.384"
"128","Monochrome glaze / Syria, Egypt","Céramique à pâte artificielle (dite siliceuse)  de couleur blanche, beige ou rose, couverte d'une glaçure alcaline, incolore ou colorée, produite en Syrie et en Égypte.","900.0","1199.0","5","2022-10-28 09:32:18.232","129.0","","2024-02-28 10:06:53.384"
"299","Architectural, in artificial paste, Industrial period","Céramique architecturale, notamment des carreaux de faïence fine, monochromes ou à décor de transfert, rarement peint, produite par des faïencerie industrielles dès le début du XIXe siècle.","1800.0","1900.0","4","2024-11-10 00:39:53.003","267.0","","2024-11-10 00:39:53.003"
"285","Calcareous, oxidizing-fired / Provence, Languedoc","Formes en argile calcaire tournées et cuite en atmosphère oxydante. Dès le XIIIe et jusqu'au XVe siècles, des ateliers du Languedoc pratiquent indifféremment la cuisson oxydante ou réductrice pour les même formes.","1200.0","1500.0","4","2024-06-25 13:49:40.897","23.0","","2024-06-25 13:49:40.897"
"168","Architectural, unglazed (literally: without vitreous coating)","Regroupement des éléments architecturaux sans revêtement qu'il est difficile d’associer à des productions identifiées compte tenu de la variabilité de la composition des argiles moins épurées. En revanche, ils sont rattachés à des ateliers lorsqu'ils font partie de leur production ou portent leurs marques.","700.0","1950.0","4","2023-02-16 17:47:00.143","137.0","","2024-02-28 10:06:53.384"
"217","Incised and painted / Aphrodisias","","","","5","2023-08-14 18:48:11.734","216.0","","2024-02-28 10:06:53.384"
"23","Calcareous, oxidizing-fired, unglazed","","700.0","1899.0","1","2021-07-29 08:39:14.576","286.0","","2024-02-28 10:06:53.384"
"216","Incised and painted / Turkoman Anatolia","Céramiques à pâte rouge couverte d'un engobe argileux avec un décor incisé rehaussé de points et de coulures de glaçures pourpre, verte ou brune. Glaçure plombifère très brillante. Production attribuée aux ateliers des Emirats (beylik), turcomans, notamment Iznik,  Ephèse, Milet, Pergame, Aphrodisias.","1350.0","1425.0","5","2023-08-11 18:47:51.269","173.0","","2024-02-28 10:06:53.384"
"190","Painted with slip / Byzantine Empire","","","","5","2023-06-20 09:45:34.597","142.0","","2024-02-28 10:06:53.384"
"154","Celadon","","","","4","2023-01-23 14:49:30.671","140.0","","2024-02-28 10:06:53.384"
"215","Glazed on slip / Nicea-Iznik","","1200.0","1299.0","5","2023-08-08 15:25:03.631","268.0","","2024-02-28 10:06:53.384"
"271","Slip decoration / Crimea","Céramique de table, principalement des formes ouvertes, en pâte rouge et à décor peint en engobe blanc sous glaçure transparente monochrome.","1320.0","1400.0","11","2024-03-15 17:52:43.242","142.0","","2024-03-15 17:52:43.242"
