ceramic_id,ceramic_identifier,origin,tech_cat_id,tech_cat_name,reuse,production_fail,period_name_fr,context_type_name,identifier_origin_source_name,function_id,function_name_fr,feature_id,feature_name_fr,color_name_list,description
48,19188,"Sainte-Barbe, France",-1,Unknown Category,,True,,production,LA3M/LAMM Inventory,[np.int64(11)],['pitcher'],"[np.int64(3), np.int64(16), np.int64(41), np.int64(49)]","['Calcareous', 'Lead glaze', 'Oxidizing', 'Thrown']",['Green'],A Green ceramic with a production fault from the production in Sainte-Barbe.
49,26274,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(11)],['pitcher'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
50,26279,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(11)],['pitcher'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
51,26339,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(22)],['bowl'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
52,26340,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(24)],['saucepan'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
53,26341,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(21)],['cooking pot'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
54,26342a,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(21)],['cooking pot'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
55,26343,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(11)],['pitcher'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
56,26344,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(11)],['pitcher'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
57,26345,"Collège Eugène Vigne, France",1, Category Kaolinitic from the Uzège group,,False,,production,LA3M/LAMM Inventory,[np.int64(20)],['pot'],"[np.int64(3), np.int64(19), np.int64(41), np.int64(49)]","['Kaolinitic', 'Lead glaze', 'Oxidizing', 'Thrown']",[],A Ceramic ceramic from the production in Collège Eugène Vigne.
